,Order,Seasonal_Order,AIC,BIC,MSE
AL,"(0, 0, 1)","(0, 1, 1, 12)",429.53576514538787,438.8057175995331,13.808281481733086
AR,"(1, 0, 0)","(2, 1, 1, 12)",413.38751140797734,427.2924400891952,9.896525265083584
AZ,"(1, 0, 2)","(0, 1, 1, 12)",350.9726524049072,364.8775810861251,3.620629754234679
CA,"(0, 0, 1)","(0, 1, 1, 12)",348.5592874276006,357.8292398817459,4.674122264696646
CO,"(1, 0, 0)","(0, 1, 1, 12)",359.59483329046003,368.8647857446053,5.97533561145113
CT,"(0, 0, 1)","(2, 1, 1, 12)",418.08468747474336,431.98961615596124,18.172096782650993
DE,"(0, 0, 1)","(0, 1, 1, 12)",420.7587356657978,430.02868811994307,9.534397782554366
FL,"(0, 0, 1)","(0, 1, 1, 12)",417.3712088400355,426.64116129418073,10.476087930437675
GA,"(0, 0, 1)","(0, 1, 1, 12)",419.3123683030317,428.58232075717694,11.87750941186687
IA,"(1, 0, 0)","(2, 1, 1, 12)",452.757604736643,466.66253341786086,12.118139159700299
ID,"(0, 0, 0)","(0, 1, 1, 12)",392.7152844063395,399.6677487469484,8.344913216514687
IL,"(1, 0, 0)","(2, 1, 1, 12)",448.6775895187517,462.58251819996957,10.64349095926143
IN,"(1, 0, 0)","(2, 1, 1, 12)",449.25083461981734,463.1557633010352,11.357598247221391
KS,"(1, 0, 0)","(2, 1, 1, 12)",402.7675375318693,416.6724662130872,9.603828766410887
KY,"(1, 0, 0)","(2, 1, 1, 12)",441.64724658136845,455.55217526258633,13.852838785946405
LA,"(1, 0, 0)","(2, 1, 1, 12)",407.0298093853858,420.9347380666037,14.111129121190872
MA,"(0, 0, 1)","(2, 1, 1, 12)",417.49802175291603,431.4029504341339,21.142354287631353
MD,"(0, 0, 1)","(0, 1, 1, 12)",421.07614022333564,430.3460926774809,10.740778282583943
ME,"(1, 0, 0)","(2, 1, 1, 12)",429.97108689593966,443.87601557715755,22.103961316192898
MI,"(1, 0, 0)","(2, 1, 1, 12)",435.2757639887461,449.180692669964,11.036236434249894
MN,"(1, 0, 0)","(2, 1, 1, 12)",463.3654536582174,477.2703823394353,10.825504377079639
MO,"(1, 0, 0)","(2, 1, 1, 12)",431.6483056782165,445.5532343594344,10.957471655123143
MS,"(1, 0, 0)","(2, 1, 1, 12)",430.03997707183635,443.94490575305423,13.573504625883034
MT,"(0, 0, 0)","(2, 1, 1, 12)",409.60227101039493,421.18971157807647,15.360828479521933
NC,"(0, 0, 1)","(0, 1, 1, 12)",419.59027211307597,428.8602245672212,12.072418399695886
ND,"(1, 0, 1)","(2, 1, 1, 12)",453.83751561004726,470.05993240480143,12.717904613541503
NE,"(1, 0, 0)","(0, 1, 2, 12)",406.8846455426688,418.47208611035035,13.411267283372796
NH,"(1, 0, 0)","(2, 1, 1, 12)",432.3961980319467,446.3011267131646,22.990802170647594
NJ,"(0, 0, 1)","(2, 1, 1, 12)",419.7189657996636,433.62389448088146,12.972309964666037
NM,"(0, 0, 0)","(0, 1, 1, 12)",338.29714332579823,345.24960766640714,3.9389054431922967
NV,"(0, 0, 1)","(0, 1, 1, 12)",386.62501302107773,395.894965475223,8.950474943313766
NY,"(1, 0, 0)","(2, 1, 1, 12)",432.2855775733407,446.19050625455856,18.369722987881627
OH,"(1, 0, 0)","(2, 1, 1, 12)",439.93489220502073,453.8398208862386,13.132830101450473
OK,"(1, 0, 0)","(2, 1, 1, 12)",398.00170002469645,411.90662870591433,8.641010119301667
OR,"(1, 0, 0)","(0, 1, 1, 12)",385.9525114812203,395.22246393536557,7.132550237572681
PA,"(1, 0, 0)","(2, 1, 1, 12)",428.0441915526928,441.94912023391066,14.57751356163273
RI,"(0, 0, 1)","(2, 1, 1, 12)",411.72927590928606,425.63420459050394,18.09534979538667
SC,"(0, 0, 1)","(0, 1, 1, 12)",421.57925038712517,430.8492028412704,12.255103899646958
SD,"(1, 0, 0)","(2, 1, 1, 12)",438.722207320841,452.6271360020589,12.169248861833665
TN,"(0, 0, 1)","(0, 1, 1, 12)",437.37946573979565,446.6494181939409,12.238362972653986
TX,"(1, 0, 0)","(1, 1, 2, 12)",350.90196471014826,364.80689339136615,12.625888092736941
UT,"(0, 0, 1)","(0, 1, 1, 12)",382.42682347088083,391.6967759250261,7.647278952102494
VA,"(0, 0, 1)","(0, 1, 1, 12)",419.5676340203785,428.83758647452373,11.202549380580729
VT,"(1, 0, 0)","(2, 1, 1, 12)",442.1788497160244,456.08377839724227,22.712991050459745
WA,"(1, 0, 0)","(0, 1, 1, 12)",389.99520460571375,399.265157059859,5.173816739312239
WI,"(1, 0, 0)","(2, 1, 1, 12)",457.4421744580679,471.34710313928576,10.196527242008763
WV,"(0, 0, 1)","(0, 1, 1, 12)",433.3452981247242,442.61525057886945,13.063766868869845
WY,"(0, 0, 0)","(0, 1, 1, 12)",390.20531872505836,397.1577830656673,11.039715280988569
